id, station_name, line_name
0, Bulvar Rokossovskogo, Sokolnicheskaya
1, Cherkizovskaya, Sokolnicheskaya
2, Preobrazhenskaya ploschad, Sokolnicheskaya
3, Sokolniki, Sokolnicheskaya
4, Krasnoselskaya, Sokolnicheskaya
5, Komsomolskaya, Sokolnicheskaya
6, Krasnye vorota, Sokolnicheskaya
7, Chistye prudy, Sokolnicheskaya
8, Lubyanka, Sokolnicheskaya
9, Ohotny ryad, Sokolnicheskaya
10, Biblioteka imeni Lenina, Sokolnicheskaya
11, Kropotkinskaya, Sokolnicheskaya
12, Park kultury, Sokolnicheskaya
13, Frunzenskaya, Sokolnicheskaya
14, Sportivnaya, Sokolnicheskaya
15, Vorobevy gory, Sokolnicheskaya
16, Universitet, Sokolnicheskaya
17, Prospekt Vernadskogo, Sokolnicheskaya
18, Yugo-Zapadnaya, Sokolnicheskaya
19, Rechnoy vokzal, Zamoskvoretskaya
20, Vodny stadion, Zamoskvoretskaya
21, Voykovskaya, Zamoskvoretskaya
22, Sokol, Zamoskvoretskaya
23, Aeroport, Zamoskvoretskaya
24, Dinamo, Zamoskvoretskaya
25, Belorusskaya, Zamoskvoretskaya
26, Mayakovskaya, Zamoskvoretskaya
27, Tverskaya, Zamoskvoretskaya
28, Teatralnaya, Zamoskvoretskaya
29, Novokuznetskaya, Zamoskvoretskaya
30, Paveletskaya, Zamoskvoretskaya
31, Avtozavodskaya, Zamoskvoretskaya
32, Kolomenskaya, Zamoskvoretskaya
33, Kashirskaya, Zamoskvoretskaya
34, Kantemirovskaya, Zamoskvoretskaya
35, Tsaritsyno, Zamoskvoretskaya
36, Orehovo, Zamoskvoretskaya
37, Domodedovskaya, Zamoskvoretskaya
38, Krasnogvardeyskaya, Zamoskvoretskaya
39, Alma-Atinskaya, Zamoskvoretskaya
40, Schelkovskaya, Arbatsko-Pokrovskaya
41, Pervomayskaya, Arbatsko-Pokrovskaya
42, Izmaylovskaya, Arbatsko-Pokrovskaya
43, Partizanskaya, Arbatsko-Pokrovskaya
44, Semenovskaya, Arbatsko-Pokrovskaya
45, Elektrozavodskaya, Arbatsko-Pokrovskaya
46, Baumanskaya, Arbatsko-Pokrovskaya
47, Kurskaya, Arbatsko-Pokrovskaya
48, Ploschad Revolyutsii, Arbatsko-Pokrovskaya
49, Arbatskaya, Arbatsko-Pokrovskaya
50, Smolenskaya, Arbatsko-Pokrovskaya
51, Kievskaya, Arbatsko-Pokrovskaya
52, Park Pobedy, Arbatsko-Pokrovskaya
